region,salary
Алтайский край,25656.713018300026
Амурская область,41825.467715431136
Архангельская область,46189.78823013534
Астраханская область,32219.05435795918
Белгородская область,30909.676469769016
Брянская область,26484.9106029789
Владимирская область,31431.942283638127
Волгоградская область,29074.550520191704
Вологодская область,34378.49996740983
Воронежская область,30525.313204870752
Дальневосточный федеральный округ,52849.71470154672
Еврейская авт.область,38348.73911010605
Забайкальский край,39948.8405617778
Ивановская область,25108.565169086833
Иркутская область,40552.00831434345
Кабардино-Балкарская Республика,23948.327664530156
Калининградская область,31424.404939553708
Калужская область,36763.58397673852
Камчатский край,72423.00202628096
Карачаево-Черкесская Республика,24454.583295281573
Кемеровская область,36677.2848069208
Кировская область,27117.30390130218
Костромская область,27399.000197920926
Краснодарский край,33536.69393355355
Красноярский край,42987.6859359937
Курганская область,27084.681346405185
Курская область,28913.121915546908
Ленинградская область,41320.703840371396
Липецкая область,30128.64074880476
Магаданская область,82789.88257376471
Москва,77273.80077310512
Московская область,49900.470921754626
Мурманская область,52770.07838714283
Нижегородская область,31170.43010896418
Новгородская область,29796.986210076324
Новосибирская область,34001.84077789562
Омская область,32308.901109346923
Оренбургская область,29777.24524387002
Орловская область,26295.440108359267
Пензенская область,28667.725289563907
Пермский край,33714.22411120546
Приволжский федеральный округ,30951.049180571325
Приморский край,40565.50600458424
Псковская область,26676.6084205553
Республика Адыгея,26716.79563646039
Республика Алтай,31029.236052318804
Республика Башкортостан,32478.427209306217
Республика Бурятия,35038.34298815399
Республика Дагестан,24313.976043542414
Республика Ингушетия,24287.89891782145
Республика Калмыкия,26163.925144827084
Республика Карелия,37505.49104963827
Республика Коми,46950.06305592968
Республика Крым,28464.90385581978
Республика Марий Эл,27388.242059105563
Республика Мордовия,26168.32291077252
Республика Саха (Якутия),64604.9986123419
Республика Северная Осетия — Алания,25351.36561217187
Республика Татарстан,34116.54536753066
Республика Тыва,36067.19677203489
Республика Хакасия,39113.03339426209
Российская Федеpация,41774.30336641229
Ростовская область,30223.781844417008
Рязанская область,31123.967803448875
Самарская область,32852.225777399224
Санкт-Петербург,57330.8130904413
Саратовская область,26101.75029226223
Сахалинская область,73315.69088779655
Свердловская область,36787.31415608853
Севастополь,30972.215243829643
Северо-Западный федеральный округ,47221.220979486134
Северо-Кавказский федеральный округ,25944.34176265215
Сибирский федеральный округ,36471.989953267854
Смоленская область,28925.136409122777
Ставропольский край,27768.6009731554
Тамбовская область,25588.484954680134
Тверская область,29613.135025564025
Томская область,38642.72264532518
Тульская область,33273.715133613165
Тюменская область,66178.63093646026
Удмуртская Республика,31587.3614255413
Ульяновская область,27511.238027334988
Уральский федеральный округ,46160.91641019478
Хабаровский край,46520.66028208511
Ханты-Мансийский авт. округ - Югра,71579.69085510352
Центральный федеральный округ,51529.217602349396
Челябинская область,33873.05066569854
Чувашская Республика,26666.651620775134
Чукотский автономный округ,91481.50589879967
Южный федеральный округ,31044.60432089055
Ямало-Ненецкий авт. округ,86012.60566277303
Ярославская область,32685.347704790158
в том числе Ненецкий автономный округ,75787.55309704087
